主题（动宾）,正文(可缺省),分类,场景标签,时间
"不要轻易把手机给别人操作
不要相信别人的录音录像，只相信自己的（别人录音录像是为了维护自己的利益，你自己录音录像也要维护自己的）",,"个人提升, 其他",,
按手印的合同一定要谨慎，最好有专人陪着你在干什么（因为你自己可能不知道你在干什么）,,个人提升,,
"大众利益才能有共识
不要强行为了小众，你的利益是没有人保护的",,"个人提升, 网络",,
"要有左耳进右耳出的能力
这是抗压能力
不然什么话你都听进去了，给你压力，哪天你就跳楼了",,"工作, 个人提升",,
"人生不是一个一个阶段的，吃完这苦后面就能享福了。
而是一直吃苦的",,"个人提升, 人生规划",,
"工作后怎么扩展交际圈
（当时的不懂 现在的后悔）
趁学生身份如何多认识人，拓宽交际圈呢？
要有好朋友首先要有认识的人",,"交往, 工作",,
"怎么解决“大家只活在自己的圈子里”信息茧房
只和自己喜欢的人在一起",,"交往, 个人提升",,
"工程化的东西难而且费时间
思维和方法反而简单",,"工作, 项目与产品",,
"父母，爱人，孩子，他们不需要你有多坚强，但需要你足够真实
健康的亲密关系是建立在相互理解，支持和尊重上的
当你在家人前伪装自己的时候",,交往,,
"很多话，没有错但是没有用。废话永远对
没有建设性
比如人都会死
人都要呼吸

正如流浪地球“悲观者永远正确，而乐观者永远有利”",,个人提升,,
"止痛药，不要乱吃
只会让你忽略严重病症，加重或者拖延病情。但是应急用，没问题",,其他,,
"如果一个问题的多个答案都是对的，那这个问题就有问题
同理一个体系内谁都没错，说明这个体系错了（一个体系 问题无解，说明问题有问题）",,"工作, 其他",,
完美主义会深受破窗效应折磨,,个人提升,,
"旅行悖论：
旅行到底是消除不确定性好呢，还是创造不确定性好呢
其实是辩证统一，旅行里的惊喜很多都是不确定性带来的
但是风险，和事故也是不确定性造成的
一个人旅行，赶车的焦虑
一个人旅行，吃饭都是问题（你想吃的想点的有很多，但是你吃不了那么多）",,个人提升,,
我来说下为什么山上就我一个人会害怕想哭。因为我之前有徒步迷路的经历，经常徒步的同学会知道，手机没信号跟着徒步路线会有延迟，当你意识到偏离轨迹的时候可能已经走远很多了，再想返回，山        路基本是没有“路”，找到原轨迹很难。所以在陌生的山上体力透支，手机无服务我是很害怕的。,,网络,,
人的认知一定会有认可-怀疑-在认可的周期里,,个人提升,,
家境很不错的人可以选择那些自己想做的事情，而不是“挣钱”的事情,,人生规划,,
"很多人都是中年失意后，失去了一切
父母去世，老婆跑路，事业危机",,人生规划,,
番禺和黄埔都不认自己是广州人，而是番禺人,,"网络, 生活",,
小作坊下料就是狠（小医院 小餐馆一般用药量都很大 用调料都很重）,,"网络, 生活",,
"“回老家也是干活”大家的心理预期就是，没有想着回老家享受oe怎么的，就是看看父母+打扫卫生
杨鑫回来就捡药什么的，打扫卫生，帮忙看看店",,生活,,
"看清楚本质：
公司秘书（助理）的核心技术其实就是：人脉+老板沟通+司机。离开公司就没有什么竞争力，但是受老板青睐的话工资很高",,工作,,
回一趟老家，要能掌握跟全年龄段不同性别的人的交流,,个人提升,,
大家都有抖音，b站，小红书。优质的搜索引擎缩小了大家的差距，缩小了经验带来的优越感,,个人提升,,
"要有自己的判断能力
不要因为（别人做了）自己跟风",,个人提升,,
【项目答辩】不要告诉一个概念，要让大家悟出一个概念（知识讲解时很有用）,,工作,,
演讲学习：要吐字清晰，有问有答，懂得圆场。要有肢体动作，不要走来走去，声音要稳（不要太紧张）,,工作,,
要让观众目不暇接，一直盯着ppt（小技巧），准备gif，边说边播视频,,工作,,
手可以活泼一点，不用背着或者收着（小动作很影响观感）,,工作,,
视频可以带解说。走来走去最好，可以很有激情（有特点）最怕没激情,,工作,,
当他人习惯了索取，别忘了给予本身的意义,,个人提升,,
重要的事情（和老师，大佬的对话，记录下来）,,个人提升,,
"有条不紊讲清楚
台风很重要
要自信，就是要直接看人眼，不要看下面",,工作,,
你看不起的，终有一天会变成你所仰望的,,个人提升,,
"要有自信，不要怯场
看似神仙打架，其实大家都怕",,工作,,
注意口腔健康能避免很多，溃疡和疾病,,个人提升,,
"关于线上讲解
ppt不要太多动画
讲解要有吸引力
开头：问一下 我的声音和ppt的画面没有问题吧，如果声音小或者太大了可以提醒我一下
说一下我学到了什么
然后说一下我做了什么样的工作",,工作,,
"大家好，我们是第七组的同学，就让我们进行一个代码的讲解
首先我们最想解决的问题就是，我们拿到一组数据，怎么样进行一个分析，然后可视化
（把握好讲解台风，不要快了或者慢了，要有慢又快）
讲到最后（特别是技术性内容）不要结束谢谢大家，而是‘代码讲解，“接下来我们要做的就是几件事情：xxx，xxxx”",,工作,,
话一定要讲完不然会很难受,,交往,,
"作品复用性
竞争难度
创新性和技术栈（非简单的时间和认真）",,工作,,
做东西一定要从简到难，不要一下子搞到很难的东西,,工作,,
"讲解时，一定要针对完全不懂的人听（做好这个准备） 然后准备相关知识，然后讲每一个专业概念
所有篇幅很长的东西动能概括为一页纸（一句话，说人话）",,工作,,
感想：关于演讲 开始前播放视频（相关视频，最好是大家都感兴趣的，然后可以以这个起头，选材新闻什么的最好） 通用问题就是讲的人很投入，但是没人听，大家都听不懂 讲的要么太专业，要么太通俗（大家都知道，没有新意）,,工作,,
"答辩ppt提醒：
不要写聆听（感谢聆听哒咩）
字要少，字少大于二十，图要多
研究背景，目的一句话带过
分析和结论为主
不要动画，要有ppt页码
一定要放的开，多互动，",,工作,,
"【演讲的艺术】
来自高中课本语文必修一
1.要有自己的观点，看法，以理服人。
首先考虑主题和材料，主题要鲜明独特，启发性鼓动性。
话题新鲜，材料充分，不能人云亦云，老生常谈，
2.动之以情，一般主题和内容参杂着人生感悟和强烈的情感，而不是“故作深沉，强作豪放，无病呻吟”，会令人生厌
3.注意口头语言和表情动作，有一套演讲风格，通俗易懂，少用长句，语音语调，节奏变化
4，开头结尾：开头拉进距离（如提问，从大家熟知的东西开始讲起，调动气氛），中间注意条理，结尾可以简介鼓动性，也可以自然抒情，留有余味",,工作,,
"【答辩技巧】
1.留下战术漏洞：比如一个最重要的问题但很容易被忽视，要提前准备好
（诱导提问）
故意把某个问题不讲清楚，引诱老师提问
老师提问是最不可控的环节，五分看学术造诣，五分看表演能力，最后90分看运气
肯定会问道：意义是什么
创新点，应用前景
不知道老师在问啥：
“感谢老师的提问，您讲的是xxx，可以更详细地说一下”
关于这个问题我的想法是这样的
希望各位老师批评指正",,工作,,
"【课堂礼仪】
不说话是对老师的基本尊重
积极回答问题，哪怕看着老师点头也好
课堂素质和礼仪
一些不雅的行为，不要做
1.在课堂上拍照录音，等
老师好与谢谢老师
文章笔记",,工作,,
记住关键词自己组织语言而非不自然的背稿,,工作,,
"ppt与文字稿不要一样（不念稿），有文字稿但不全相同
阐述问题全面，
展示时娓娓道来，注意衔接，（不要然后然后然后），注意用词恰当，通俗，精确
发声有力时有力，重点时重点
要有个概述
可以短小精悍，不要冗长
多数情况下可以以一篇文章到几篇文章为基础进行阐述扩展",,工作,,
"向观众提问，互动
看着观众
确认麦克风声音大小
  10.关键词在ppt上，不要脱离ppt，有时候适当看ppt，即可以提醒自己，也提醒观众看ppt
  11.不要偏题！不要扯别的，不要生硬，要有自己的逻辑，逻辑线清晰
长度要恰到好处，点到为止
忘词断片，要带稿子",,工作,,
